slippage_bp,segment,adopted,num_cells,num_candidates,num_trades,win_rate,mean_net_r,net_r_stderr,gross_r,cost_r,slippage_r,stop_fee_r,entry_fee_r,take_profit_fee_r,funding_r,breakeven_win_rate,linear_mean_net_r,linear_gap
10.0,oos_warm,False,48,39436,14825,0.4008094435075885,-0.163422211958,0.010795431204175839,0.0019217670410435234,0.16534397899904385,0.08805007146993238,0.035184808559385,0.02986463450477969,0.012255004564201488,-1.0540099254702407e-05,0.46613759159961754,-0.16348389107712427,6.167911912427493e-05
10.0,oos,False,48,38563,14525,0.39924268502581756,-0.16850627228821613,0.01090294234848244,-0.0020315348164619755,0.16647473747175442,0.08874474250569808,0.035462399105277057,0.0300099993622486,0.012260644554145692,-3.0480556150115647e-06,0.46658989498870174,-0.16856843802474844,6.216573653231028e-05
15.0,full,False,48,122946,49431,0.404240254091562,-0.17629849759292007,0.0060371244490480995,0.010620667119489186,0.18691916471241024,0.11733316125605119,0.031241909737112,0.026525960267094594,0.010883662899711209,0.0009344705524412561,0.4747676658849641,-0.1764472958613078,0.00014879826838773424
15.0,is,False,48,83509,34606,0.4057388892099636,-0.16296210645348616,0.007189076605562056,0.014347223024908965,0.17730932947839698,0.11101780124068913,0.029560339877021766,0.025095692522377352,0.010296188468223317,0.0013393073700853904,0.47092373179135877,-0.16310289577858456,0.00014078932509839492
15.0,oos_warm,False,48,39436,14825,0.40074198988195614,-0.20742963767866693,0.011112947257151626,0.0019217670410435171,0.209351404719711,0.13207510720489365,0.0351671985450909,0.02986463450477969,0.012255004564201488,-1.0540099254702407e-05,0.4837405618878844,-0.20759713122472673,0.00016749354605979927
15.0,oos,False,48,38563,14525,0.3991738382099828,-0.21286089459255877,0.011225024121272131,-0.0020315348164619777,0.21082935977609754,0.13311711375854246,0.03544465015677583,0.0300099993622486,0.012260644554145692,-3.0480556150115647e-06,0.484331743910439,-0.21302970957894418,0.00016881498638540715
20.0,full,False,48,122946,49431,0.404240254091562,-0.21539390692344107,0.006196326631852759,0.010620667119489184,0.22601457404293074,0.15644421500807248,0.03122626531561118,0.026525960267094594,0.010883662899711209,0.0009344705524412561,0.4904058296171723,-0.21567597678363093,0.0002820698601898597
20.0,is,False,48,83509,34606,0.4057388892099636,-0.19995323782688965,0.00736999491209922,0.014347223024908963,0.21430046085179935,0.14802373498759017,0.029545537503523144,0.025095692522377352,0.010296188468223317,0.0013393073700853904,0.48572018434071973,-0.20022012551097867,0.00026688768408902885
20.0,oos_warm,False,48,39436,14825,0.40074198988195614,-0.2514370633993435,0.01143530375514822,0.0019217670410435215,0.2533588304403884,0.17610014293986506,0.03514958853079693,0.02986463450477969,0.012255004564201488,-1.0540099254702407e-05,0.5013435321761553,-0.25175457301576365,0.00031750961642013076
20.0,oos,False,48,38563,14525,0.3991738382099828,-0.25721551689691124,0.011551987253616783,-0.0020315348164619794,0.25518398208045057,0.17748948501139658,0.03542690120827468,0.0300099993622486,0.012260644554145692,-3.0480556150115647e-06,0.5020735928321802,-0.25753553150543873,0.00032001460852748576
